"provider","channel_type","model","example","status","reference","next_action"
"openai","1","babbage-002","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","chat-latest","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","chatgpt-4o-latest","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","chatgpt-image-latest","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","codex-mini-latest","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","computer-use-preview","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","computer-use-preview-2025-03-11","unverified","no-reviewed-example","","Determine actual channel contract and pricing unit before adding a reviewed example or implementation."
"openai","1","dall-e-2","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","dall-e-3","image","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/images/methods/generate","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","davinci-002","completions","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo-0125","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
"openai","1","gpt-3.5-turbo-0301","chat","existing-example-not-requalified","https://developers.openai.com/api/reference/resources/chat/subresources/completions/methods/create","Retain existing behavior; example presence is not live endpoint or billing qualification."
